Date,EWA,EWC,EWG,EWH,EWJ,EWS,EWU,EWW,IJR,MDY,SPY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2015-12-18,,,,,,,,,,1.003,1.212,0.321,,0.542,0.121852,0.319,0.216,0.37,0.445,0.303,0.325
2015-12-21,0.509,0.29,,0.214,0.352,0.504,0.632,0.417,,,,,,,,,,,,,
2015-12-24,,,,,,,,,0.2495,,,,,,,,,,,,
2015-12-29,,,,,,,,0.331,,,,,,,,,,,,,
2016-03-18,,,,,,,,,,0.816,1.05,0.157,,0.452,0.081235,0.283,0.22,0.271,0.368,0.237,0.321
2016-03-23,,,,,,,,,0.2095,,,,,,,,,,,,
2016-06-17,,,,,,,,,,0.848,1.078,0.235,,0.436,0.098294,0.307,0.211,0.323,0.412,0.285,0.277
2016-06-21,,,,,,,,,0.1785,,,,,,,,,,,,
2016-06-22,0.276,0.196,0.613,0.389,0.368,0.128,0.796,0.579,,,,,,,,,,,,,
2016-09-16,,,,,,,,,,1.113,1.082,0.242,,0.411,0.092608,0.312,0.196,0.328,0.416,0.279,0.3
2016-09-26,,,,,,,,,0.1765,,,,,,,,,,,,
2016-12-16,,,,,,,,,,1.165,1.329,0.334,,0.402,0.107,0.384,0.216,0.386,0.463,0.305,0.492
2016-12-21,0.54,0.263,0.009,0.21,0.583,0.662,0.422,0.199,0.2705,,,,,,,,,,,,
2017-03-17,,,,,,,,,,0.823,1.033,0.164,,0.419,0.088,0.297,0.205,0.29,0.387,0.274,0.261
2017-03-24,,,,,,,,,0.224,,,,,,,,,,,,
2017-06-16,,,,,,,,,,0.524,1.183,0.252,,0.449,0.093,0.324,0.223,0.436,0.437,0.308,0.275
2017-06-20,0.47,0.215,0.595,0.4,0.348,0.257,0.74,0.583,,,,,,,,,,,,,
2017-06-27,,,,,,,,,0.206,,,,,,,,,,,,
2017-09-15,,,,,,,,,,1.445,1.235,0.302,,0.865,0.103,0.316,0.209,0.346,0.417,0.305,0.318
2017-09-26,,,,,,,,,0.226,,,,,,,,,,,,
2017-12-15,,,,,,,,,,1.299,1.351,0.288,,0.458,0.128,0.402,0.238,0.418,0.511,0.331,0.332
2017-12-19,0.559,0.369,0.084,0.707,0.399,0.641,0.661,0.509,0.265,,,,,,,,,,,,
2018-03-16,,,,,,,,,,0.861,1.097,0.226,,0.475,0.105,0.307,0.218,0.299,0.387,0.3,0.31
2018-03-22,,,,,,,,,0.239,,,,,,,,,,,,
2018-06-15,,,,,,,,,,1.01,1.246,0.28,,0.512,0.119,0.302,0.255,0.394,0.44,0.316,0.294
2018-06-19,0.432,0.224,0.744,0.393,0.46,0.486,0.826,0.574,,,,,,,,,,,,,
2018-06-26,,,,,,,,,0.247,,,,,,,,,,,,
2018-09-21,,,,,,,,,,1.056,1.323,0.289,0.132,0.513,0.128,0.384,0.254,0.388,0.475,0.367,0.351
2018-09-26,,,,,,,,,0.287,,,,,,,,,,,,
2018-12-17,,,,,,,,,0.321,,,,,,,,,,,,
